"LAKENUMBER_TO_USE"	"Lac"	"Mesure"	"date"	"Green_Algae_ug.L"	"Bluegreen_ug.L"	"Diatoms_ug.L"	"Cryptophyta_ug.L"	"Yellow.sub_ug.L"	"Total_conc_ug.L"	"treatment"	"Year"	"Month"	"Day"
10	"LAC 10"	"Mesure 1"	2016-08-23 14:56:00	4.53	0.166666666666667	2.04666666666667	0.0466666666666667	0.9	6.79	"Perch - Control"	2016	8	23
10	"LAC 10"	"Mesure 1"	2016-11-21 16:53:00	12.49	2.49333333333333	3.41666666666667	0	1.52666666666667	18.4	"Perch - Control"	2016	11	21
10	"LAC 10"	"Mesure 1"	2016-07-20 15:17:00	1.51666666666667	0.0933333333333333	1.64333333333333	0	0.766666666666667	3.25333333333333	"Perch - Control"	2016	7	20
10	"LAC 10"	"Mesure 1"	2016-02-17 16:23:00	2.91666666666667	0.723333333333333	4.02	0	0.856666666666667	7.66666666666667	"Perch - Control"	2016	2	17
10	"LAC 10"	"Mesure 1"	2016-09-22 14:37:20	3.24666666666667	0	3.26333333333333	0	1.07333333333333	6.51333333333333	"Perch - Control"	2016	9	22
10	"LAC 10"	"Mesure 1"	2016-12-15 18:01:00	7.77333333333333	0.286666666666667	4.09666666666667	0	1.49666666666667	12.16	"Perch - Control"	2016	12	15
10	"LAC 10"	"Mesure 1"	2016-03-22 15:13:00	5.14666666666667	0	1.67333333333333	0	0.626666666666667	6.82	"Perch - Control"	2016	3	22
10	"LAC 10"	"Mesure 1"	2016-10-18 15:05:00	3.65	1.58666666666667	3.29333333333333	0	1.13	8.53333333333333	"Perch - Control"	2016	10	18
10	"LAC 10"	"Mesure 1"	2016-04-14 16:43:00	1.82333333333333	0	2.61666666666667	0	0.596666666666667	4.44333333333333	"Perch - Control"	2016	4	14
10	"LAC 10"	"Mesure 1"	2016-05-17 16:05:00	1.03	0.363333333333333	1.49	0	0.996666666666667	2.88333333333333	"Perch - Control"	2016	5	17
11	"LAC 11"	"Mesure 1"	2016-01-13 17:36:00	6.20333333333333	0.576666666666667	3.82	0	1.03333333333333	10.5933333333333	"No perch - Phosphorus"	2016	1	13
11	"LAC 11"	"Mesure 1"	2016-08-23 14:59:00	15.3633333333333	3.10333333333333	5.22	0	2.45666666666667	23.69	"No perch - Phosphorus"	2016	8	23
11	"LAC 11"	"Mesure 1"	2016-12-15 18:03:40	12.2933333333333	0	6.59666666666667	0	0.796666666666667	18.8866666666667	"No perch - Phosphorus"	2016	12	15
11	"LAC 11"	"Mesure 1"	2016-05-17 16:08:00	2.03333333333333	0.703333333333333	0.883333333333333	0	0.813333333333333	3.61333333333333	"No perch - Phosphorus"	2016	5	17
